num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,63295_00000,2025-07-20_22-21-23,1753075283,62.02430510520935,62.02430510520935,76315,Masons-MacBook-Air.local,127.0.0.1,62.02430510520935,1,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60200.02,0.011,60199.974,60199.962,0,0,0,0,13.640449438202246,69.99550561797753,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,63295_00000,2025-07-20_22-21-25,1753075285,1.9975850582122803,64.02189016342163,76315,Masons-MacBook-Air.local,127.0.0.1,64.02189016342163,2,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31098.636,998.275,30100.315,30100.273,0,0,0,0,17.900000000000002,71.66666666666667,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,63295_00000,2025-07-20_22-22-27,1753075347,62.084676027297974,126.1065661907196,76315,Masons-MacBook-Air.local,127.0.0.1,126.1065661907196,3,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,40812.621,678.538,40134.033,40133.992,0,0,0,0,23.302272727272726,72.10113636363636,[],[]
0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,4,63295_00000,2025-07-20_22-22-29,1753075349,1.9961426258087158,128.10270881652832,76315,Masons-MacBook-Air.local,127.0.0.1,128.10270881652832,4,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31108.444,1007.716,30100.679,30100.623,0,0,0,0,15.066666666666665,71.13333333333334,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,5,63295_00000,2025-07-20_22-23-31,1753075411,62.04877591133118,190.1514847278595,76315,Masons-MacBook-Air.local,127.0.0.1,190.1514847278595,5,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,36936.368,814.583,36121.739,36121.693,0,0,0,0,12.507954545454544,68.87840909090909,[],[]
0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,6,63295_00000,2025-07-20_22-23-33,1753075413,1.9992451667785645,192.15072989463806,76315,Masons-MacBook-Air.local,127.0.0.1,192.15072989463806,6,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31113.471,1011.877,30101.55,30101.507,0,0,0,0,16.53333333333333,69.16666666666667,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,7,63295_00000,2025-07-20_22-24-35,1753075475,62.05484414100647,254.20557403564453,76315,Masons-MacBook-Air.local,127.0.0.1,254.20557403564453,7,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,35272.586,871.545,34401.0,34400.963,0,0,0,0,15.523863636363636,68.88636363636364,[],[]
0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,8,63295_00000,2025-07-20_22-24-37,1753075477,1.9999659061431885,256.2055399417877,76315,Masons-MacBook-Air.local,127.0.0.1,256.2055399417877,8,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31113.481,1012.496,30100.945,30100.908,0,0,0,0,8.333333333333334,67.83333333333333,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,9,63295_00000,2025-07-20_22-25-39,1753075539,62.05009484291077,318.2556347846985,76315,Masons-MacBook-Air.local,127.0.0.1,318.2556347846985,9,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,34350.842,903.045,33447.759,33447.725,0,0,0,0,10.888636363636364,67.42272727272727,[],[]
0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,10,63295_00000,2025-07-20_22-25-41,1753075541,1.9982562065124512,320.25389099121094,76315,Masons-MacBook-Air.local,127.0.0.1,320.25389099121094,10,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31115.562,1012.491,30103.033,30103.001,0,0,0,0,10.166666666666666,68.06666666666666,[],[]
